gdh;preco2009
539;7027,48
540;5005,77
541;3060,73
542;1683,84
543;5941,74
544;4356,86
545;29635,62
546;18802,18
547;25626,70
548;7065,17
549;21107,37
550;4893,14
551;3964,12
552;7027,24
553;9174,76
554;3605,16
555;15621,15
556;8395,50
557;7818,24
558;14085,64
559;4797,53
560;5420,80
561;9236,59
562;5339,08
563;3429,99
564;5273,19
565;11238,89
566;5358,49
567;6328,50
568;4988,27
569;2160,22
570;3158,50
571;5997,09
572;4167,80
573;5101,38
574;3197,56
575;5325,19
576;44187,57
577;7684,77
578;14114,87
579;18632,52
580;2760,48
581;8231,12
582;2380,67
583;7228,05
584;5048,66
585;12296,60
586;3299,40
587;1793,35
602;74304,36
603;21493,16
604;55531,42
605;33441,35
606;60205,06
607;24320,74
608;20548,80
609;32108,55
610;7419,99
611;13600,88
612;6944,33
613;4809,27
614;2255,11
615;31298,38
616;6768,93
617;7282,20
618;2665,11
619;1785,69
620;308,16
621;1039,97
622;19628,88
623;3366,25
624;2371,09
626;4315,41
627;834,61
628;610,56
629;267,90
630;497,70
631;1490,71
633;4979,41
634;3168,08
635;1768,91
636;501,54
637;1267,14
638;1981,70
639;1620,82
640;1956,06
641;36916,15
650;3147,23
651;1975,71
652;1791,44
700;40062,90
701;14800,20
702;12041,88
703;10673,86
704;6378,58
705;8938,49
706;8866,13
707;8615,24
708;3680,16
709;8513,64
710;6032,56
711;5146,67
712;3352,59
713;1890,40
714;3048,99
715;1765,32
716;1604,77
730;11744,26
731;8917,88
732;7837,41
733;3229,43
734;2518,22
737;8852,47
738;7566,64
739;4825,33
740;4923,57
743;517,35
744;1381,44
745;1000,67
746;839,41
747;1738,96
748;1466,74
749;666,16
750;1748,06
751;1293,26
752;1829,30
753;7322,94
754;1514,19
755;12044,99
756;11319,17
757;5120,31
758;4131,37
759;25000,00
760;3486,54
761;2405,12
762;870,80
763;1316,74
764;1666,83
765;1158,83
766;2388,58
767;1538,39
768;1293,02
769;1066,57
770;2618,62
771;1166,49
772;1355,80
773;925,43
774;1052,91
775;549,22
776;2601,37
777;1166,73
778;2223,00
779;888,05
780;10787,20
781;3715,86
782;14540,68
783;3779,13
784;1414,51
785;1211,30
786;6356,29
787;3754,68
789;13560,14
790;2823,50
791;3633,67
792;18983,09
793;17276,96
794;7535,25
795;60947,66
796;6693,68
797;4462,54
798;9507,60
799;4299,83
800;5822,41
801;4763,75
802;3695,02
803;54354,14
804;44274,12
805;59118,60
806;13159,49
807;11239,85
808;6409,49
809;13205,73
810;2476,76
811;25984,70
812;3178,39
813;1815,40
814;908,42
815;1552,29
816;964,97
817;12912,19
818;7598,99
819;2879,33
820;1482,32
821;63131,12
822;5427,99
823;22347,43
824;11173,23
825;6139,19
826;1906,22
827;4179,06
828;1587,04
829;57594,83
832;1242,22
833;11259,02
836;8906,62
837;8840,01
838;5565,77
839;5059,44
849;36162,11
850;33363,12
851;31255,39
852;3769,08
853;6206,79
854;5205,60
864;3692,14
865;2438,18
866;2925,58
867;1830,50
874;5563,13
875;1839,84
876;2580,54
